id,url,keyword,context,timestamp
1,http://duckduckgogg42xjoc72x3sjasowoarfbgcmvfimaftt6twagswzczad.onion,protection,DuckDuckGo - Protection. Privacy. Peace of mind.,2025-08-03 16:10:29
2,http://duckduckgogg42xjoc72x3sjasowoarfbgcmvfimaftt6twagswzczad.onion,peace,DuckDuckGo - Protection. Privacy. Peace of mind.,2025-08-03 16:10:29
3,http://duckduckgogg42xjoc72x3sjasowoarfbgcmvfimaftt6twagswzczad.onion,privacy,DuckDuckGo - Protection. Privacy. Peace of mind.,2025-08-03 16:10:29
4,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,ai,Facebook Facebook Email or phone Password Forgot account? Create new account You,2025-08-03 16:10:38
5,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,ai,sh (US) Español Português (Brasil) Français (France) Deutsch Italiano العربية हिन्दी 中文(简体) 日本語 Sign,2025-08-03 16:10:38
6,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,ai,Meta Store Meta Quest Ray-Ban Meta Meta AI Meta AI more content Instagram Threads Voting Information,2025-08-03 16:10:38
7,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,ai,re Meta Quest Ray-Ban Meta Meta AI Meta AI more content Instagram Threads Voting Information Center ,2025-08-03 16:10:38
8,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,new,r phone Password Forgot account? Create new account You’re Temporarily Blocked You’re Temporarily Bl,2025-08-03 16:10:38
9,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,email,Facebook Facebook Email or phone Password Forgot account? Create new account Y,2025-08-03 16:10:38
10,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,page,y Privacy Center About Create ad Create Page Developers Careers Cookies Ad choices Terms Help Contac,2025-08-03 16:10:38
11,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,ad,a AI Meta AI more content Instagram Threads Voting Information Center Privacy Policy Privacy Center ,2025-08-03 16:10:38
12,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,ad,vacy Policy Privacy Center About Create ad Create Page Developers Careers Cookies Ad choices Terms H,2025-08-03 16:10:38
13,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,ad, Create Page Developers Careers Cookies Ad choices Terms Help Contact Uploading & Non-Users Settings,2025-08-03 16:10:38
14,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,ad,okies Ad choices Terms Help Contact Uploading & Non-Users Settings Activity log Meta © 2025,2025-08-03 16:10:38
15,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,forgot,cebook Facebook Email or phone Password Forgot account? Create new account You’re Temporarily Blocke,2025-08-03 16:10:38
16,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,phone,Facebook Facebook Email or phone Password Forgot account? Create new account You’re Tem,2025-08-03 16:10:38
17,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,password,Facebook Facebook Email or phone Password Forgot account? Create new account You’re Temporari,2025-08-03 16:10:38
18,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,privacy,agram Threads Voting Information Center Privacy Policy Privacy Center About Create ad Create Page De,2025-08-03 16:10:38
19,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,privacy,oting Information Center Privacy Policy Privacy Center About Create ad Create Page Developers Career,2025-08-03 16:10:38
20,http://facebookwkhpilnemxj7asaniu7vnjjbiltxjqhye3mhbshg7kx5tfyd.onion,tor,nger Facebook Lite Video Meta Pay Meta Store Meta Quest Ray-Ban Meta Meta AI Meta AI more content In,2025-08-03 16:10:38
